lat,long,commonID,samplingProgram
46.56112,-81.56769,Ministic_1,BsM
45.56477,-77.04829,Mink_1,BsM
49.97183,-91.95802,Minnitaki_1,BsM
48.07953,-85.35913,Mishi_1,BsM
48.35674,-83.69128,Missinaibi_1,BsM
44.70569,-78.32072,Mississagua_1,BsM
45.06538,-76.1853,Mississippi_1,BsM
47.96607,-80.73921,Mistinikon_1,BsM
44.4871,-77.45373,Moira_1,BsM
50.09953,-92.6059,Mold_1,BsM
49.55267,-80.79031,Montreuil_1,BsM
47.23078,-79.83215,Mountain_1,BsM
44.70923,-80.69675,Mountain_2,BsM
46.95159,-82.08518,Mozhabong_1,BsM
49.57403,-91.89103,Mud_1,BsM
45.66067,-77.81168,Murphys_1,BsM
49.01629,-90.04908,Muskeg_1,BsM
45.02374,-79.47732,Muskoka_1,BsM
46.49128,-80.04488,Muskosung_1,BsM
45.67461,-76.90849,Muskrat_1,BsM
49.42202,-85.0419,Nagagami_1,BsM
49.47731,-84.65717,Nagagamisis_1,BsM
48.78398,-84.70585,Nameigos_1,BsM
48.46221,-90.52889,Nelson_2,BsM
48.0062,-83.11013,Nemegosenda_1,BsM
47.11604,-79.78758,Net_1,BsM
48.45682,-80.98027,Night Hawk_1,BsM
45.46238,-80.05162,Nine Mile_1,BsM
47.37231,-83.52071,Ninegee_1,BsM
47.30503,-81.85852,Ninth_1,BsM
49.19934,-91.85993,Nora_1,BsM
48.39452,-85.48552,North McCrea_1,BsM
52.5156,-92.91514,North Spirit_1,BsM
48.12228,-90.52495,North_1,BsM
45.72134,-79.19754,North_2,BsM
48.24446,-90.6759,Northern Light_1,BsM
45.33922,-76.71995,Norway_1,BsM
46.20715,-79.21294,Nosbonsing_1,BsM
51.47248,-93.53952,Nungesser_1,BsM
48.68333,-91.42721,Nym_1,BsM
50.43811,-93.78729,Oak_1,BsM
48.64543,-84.28872,Oba_1,BsM
47.04318,-80.26229,Obabika_1,BsM
49.97411,-89.3113,Obonga_1,BsM
48.90206,-93.83011,Off_1,BsM
48.9373,-81.87845,Oke_1,BsM
47.46489,-80.76159,Okiniada_1,BsM
50.03672,-94.22218,Old Man_1,BsM
47.62155,-84.72187,Old Woman_1,BsM
