commonID,lat,long,samplingProgram,secchiDepth,maxDepth,yearSample,DOC,TDP,scaled_yearSample,scaled_secchi,scaled_maxDepth
Dick_1,47.10866,-84.358,BsM,4.2,27.4,2009,4.7,5.5,8.9328125,0.647702753,-2.158489583
Donald_1,46.79829,-80.51028,BsM,10,60,2010,1.3,2.5,9.9328125,6.447702753,30.44151042
Duval_1,46.72117,-83.05211,BsM,4.6,21.4,2009,4.8,4.8,8.9328125,1.047702753,-8.158489583
Ear_1,47.82228,-84.68512,BsM,3.8,27.5,2011,5.7,14.6,10.9328125,0.247702753,-2.058489583
Endikai_1,46.59111,-83.03067,BsM,5.8,48.2,2009,3.6,3.8,8.9328125,2.247702753,18.64151042
Flame_1,47.28889,-83.17746,BsM,2,9,2011,7.7,7,10.9328125,-1.552297247,-20.55848958
Gamitagama_1,47.65757,-84.76551,BsM,7.3,27.5,2009,2.1,2.7,8.9328125,3.747702753,-2.058489583
Garden_1,46.76463,-83.70654,BsM,3.1,22.9,2009,7.6,6.7,8.9328125,-0.452297247,-6.658489583
Gavor_1,47.10214,-84.01306,BsM,3.5,21.3,2009,7.1,5.3,8.9328125,-0.052297247,-8.258489583
Geiger_1,46.53217,-82.4864,BsM,4.1,27,2009,4.9,6.3,8.9328125,0.547702753,-2.558489583
Gong_1,47.07006,-83.53602,BsM,5,24,2009,6,5.1,8.9328125,1.447702753,-5.558489583
Goulais_1,47.16373,-83.67077,BsM,3,33.5,2009,12.8,9.5,8.9328125,-0.552297247,3.941510417
Graham_1,47.1448,-83.81865,BsM,2.4,17.4,2009,9.4,8.3,8.9328125,-1.152297247,-12.15848958
Gull_1,47.22479,-83.63434,BsM,1.5,20.7,2009,12.6,9,8.9328125,-2.052297247,-8.858489583
Hanes_1,47.11457,-83.88482,BsM,2.5,18.3,2009,8.5,5.8,8.9328125,-1.052297247,-11.25848958
Helen_1,47.01777,-81.0952,BsM,3.3,26,2011,5.4,6.4,10.9328125,-0.252297247,-3.558489583
Indian_2,47.12966,-82.1271,BsM,3,15.5,2011,5.5,10.2,10.9328125,-0.552297247,-14.05848958
Island_1,47.51388,-80.5893,BsM,2.6,18.6,2009,6.7,7,8.9328125,-0.952297247,-10.95848958
Kalaco_1,47.17792,-81.39287,BsM,2.5,33.5,2011,7.3,6.3,10.9328125,-1.052297247,3.941510417
Kirkpatrick_1,46.65714,-83.09401,BsM,6.6,70.2,2009,2.8,3.2,8.9328125,3.047702753,40.64151042
Kwagama_1,47.44016,-84.58345,BsM,7,38,2009,2.4,4.9,8.9328125,3.447702753,8.441510417
Lang_1,46.16152,-81.66548,BsM,4,21,2011,3.4,6.2,10.9328125,0.447702753,-8.558489583
Lauzon_1,46.21199,-82.82266,BsM,3.9,82.3,2009,2.6,4.3,8.9328125,0.347702753,52.74151042
Little Burwash_1,47.13256,-81.09204,BsM,2.6,28.4,2011,5.8,5.8,10.9328125,-0.952297247,-1.158489583
Little Chiblow_1,46.357,-83.13157,BsM,4.9,38.1,2009,2.8,4.2,8.9328125,1.347702753,8.541510417
Little Wawa_1,47.84731,-83.82821,BsM,5,11,2011,3.7,6.7,10.9328125,1.447702753,-18.55848958
Lower Muldrew_1,47.08843,-81.61974,BsM,2.2,17,2011,12.2,7,10.9328125,-1.352297247,-12.55848958
Mamainse_1,47.03048,-84.61844,BsM,10,36.6,2009,2.2,2.4,8.9328125,6.447702753,7.041510417
Matinenda_1,46.37703,-82.95394,BsM,5.7,85.3,2009,2.8,3.9,8.9328125,2.147702753,55.74151042
McEwen_1,47.64612,-84.13189,BsM,2.3,35.5,2011,5.1,9.7,10.9328125,-1.252297247,5.941510417
McGiverin_1,46.30329,-82.73474,BsM,3.5,36,2009,4.6,6.4,8.9328125,-0.052297247,6.441510417
McLennan_1,47.72341,-83.39714,BsM,4,31,2011,6.6,7.9,10.9328125,0.447702753,1.441510417
