BsM_Cycle,FMZ,waterbodyID,lakeName,dateSample,yearSample,secchiDepth,maxDepth,meanDepth,lat,long,alk,Ca,CLIDUR (mg/L),COLTR (TCU),cond,DIC,DOC,KKUT (mg/L),MGUT (mg/L),Na,NNHTUR (mg/L),NNOTUR (ug/L),TKN,pH,TDP,SIO3UR (mg/L),SSO4UR (mg/L),FEUT,NtoPratio
1,11,17-5942-51055,Clear,2008-05-06,2008,5,40,11.5,46.09839,-79.78115,6.36,2.96,0.92,16,35,2,4.5,0.495,1.05,1.13,12,28,272,6.71,8.2,0.88,5.75,106,2.6490986587280125
1,11,17-5788-51912,Cross,2008-05-22,2008,3.5,54.9,11.8,46.8721,-79.96696,10.5,5.7,0.68,9.4,51.4,2.84,2.6,0.29,1.82,1.03,20,44,214,7.14,8.9,0.52,9.95,28,2.442373552047913
1,11,17-5601-51477,Deer,2008-05-06,2008,1.8,6.3,3.3,46.48181,-80.21786,15,5.62,1.41,64.8,55.2,3.9,8.3,0.57,2.04,1.11,24,58,489,7.07,17.7,1.54,5.5,165,2.1507954590100313
1,11,17-5580-52276,Diamond,2008-05-22,2008,3.5,38.1,9.6,47.20455,-80.24759,3.19,2.24,0.22,12.6,23.8,0.98,2.4,0.265,0.71,0.755,18,38,211,6.63,3.6,0.94,5.65,NA,4.090955966605942
1,11,17-5515-51958,Emerald,2009-05-21,2009,8,48.8,18.5,46.9159,-80.32312,8,6.32,0.85,5.2,55.8,2.32,2.5,0.305,1.59,0.725,10,26,119,6.92,3.2,0.92,14.2,NA,4.003579463980591
1,11,17-5845-51854,Hangstone,2009-05-21,2009,2.2,18,5.1,46.81988,-79.88986,15,5.12,0.57,41.4,45.2,3.84,7.1,0.26,1.93,0.81,24,28,277,7.14,9,1.64,4.5,76,2.5469563100613497
1,11,17-5733-52151,Kokoko,2008-05-22,2008,3,44.8,13.7,47.08895,-80.03639,17.3,7.22,0.25,14.4,54,4.6,3.4,0.25,1.74,0.765,24,36,252,7.28,6.8,1.06,6.35,NA,2.8629378897767293
1,11,17-5608-52396,Lady Evelyn,2008-05-22,2008,2,29.6,7.5,47.35053,-80.14644,3.8,2.48,0.19,17.2,25.4,1.16,3.4,0.275,0.79,0.775,18,58,195,6.59,3.9,1.48,5.55,88,3.804034983860833
1,11,17-5430-52549,Makobe,2008-05-22,2008,2,22.6,5.8,47.4477,-80.43034,1.36,1.64,0.2,14.8,19.2,0.42,3,0.245,0.545,0.67,18,30,186,6.24,3.6,0.9,5.1,NA,3.994613667985188
1,11,17-5732-51489,Muskosung,2008-05-06,2008,3.3,10,3,46.49128,-80.04488,14.2,5.28,0.76,31.4,48.4,3.44,6.4,0.465,1.6,0.105,16,54,350,7.18,7.5,1.12,5.25,194,2.88845691422298
1,11,17-5770-51258,"Nipissing,",2008-05-22,2008,2.2,60,7.6,46.26473,-79.7733,17.8,6.68,5.34,22.6,72.8,4.46,4.3,0.63,2.2,4.29,32,32,336,7.32,15.2,0.6,6.35,126,2.132596258188404
1,11,17-6382-51179,"Nosbonsing,",2008-05-06,2008,2.5,14,5,46.20715,-79.21294,13,4.64,2.94,30.6,53.4,3.3,4.5,0.895,1.49,0.1,22,4,414,7.13,17.4,3.1,5.25,45,2.105410396140542
1,11,17-6031-52053,Rabbit,2009-05-21,2009,3.9,42.7,14.2,46.9898,-79.6473,10,7.68,3.14,20.8,71.6,5.56,5,0.325,2.26,2.41,12,90,201,7.2,5.1,1.56,7.15,42,3.217040941322207
1,11,17-5812-51735,Red Cedar,2009-05-21,2009,2.1,34.7,5.8,46.71781,-79.94034,15.9,5.74,2.39,40.6,54.8,4.28,7.8,0.4,1.9,2.09,20,72,278,7.1,7.4,1.64,3.65,77,2.793176993563332
1,11,17-5740-52232,Red Squirrel,2008-05-22,2008,3.5,33.6,11.3,47.16035,-80.02394,10.2,4.54,0.24,11,39.4,2.62,2.6,0.215,1.27,0.8,18,44,195,7.17,3.8,0.96,6.25,NA,3.874800220091404
1,11,17-5972-52300,Rib,2009-05-21,2009,7,44.8,16.4,47.21484,-79.71615,17.2,6.6,12,12.4,88.4,4.58,3.5,0.265,1.93,7.46,10,50,161,7.24,4.2,1.38,6.3,NA,3.484144350013222
1,11,17-5700-52061,"Temagami,",2008-05-30,2008,5,75.9,16.7,46.98896,-80.07046,11.8,6.7,0.93,5,59.6,3.08,3,0.335,1.88,1.15,12,48,177,6.64,5.1,0.46,11.6,NA,3.139955394309987
1,11,17-6290-51301,Trout,2008-05-06,2008,5.1,69.2,16.9,46.3193,-79.33669,11.9,5.2,14.8,11.6,99.2,3.36,3.1,0.71,1.54,5.89,6,166,225,6.98,4.3,0.96,6.25,229,3.655864030042646
1,11,17-5842-51980,Wasaksina,2008-05-22,2008,1.5,31.1,6.6,46.935,-79.89212,16.7,6.48,0.25,23.8,51,4.06,6.1,0.225,1.97,0.735,30,12,318,7.32,8.9,0.8,6.05,NA,2.62256569409989
1,11,17-6007-51793,Wicksteed,2009-05-21,2009,2.3,12.2,3,46.76948,-79.67865,8.67,3.32,0.17,60.4,28.6,2,9,0.355,1.08,0.545,22,62,306,6.95,7.2,1.68,3.9,106,2.8794133046013544
1,2,15-6978-59597,Big Trout,2012-05-15,2012,6,36.6,10.3,53.78346,-90.00721,49.3,16.2,0.52,9.6,114,13.1,6.4,0.355,3.03,0.495,10,2,236,8.03,6.6,1.4,0.45,NA,2.872737407459908
1,2,15-3974-57298,Cairns,2012-05-14,2012,5.2,18.5,7,51.70516,-94.49693,12.9,3.52,0.2,8.8,33.6,3.48,5.5,0.575,0.93,0.88,16,2,274,7.5,6.7,0.08,1.25,NA,2.9283879107246893
1,2,15-5492-60415,Echoing,2012-05-14,2012,6.5,30,8.9,54.52068,-92.24003,101,34.1,1.11,5.6,232,29.7,6,0.88,7.92,1.45,10,2,249,8.25,8.8,2,1,NA,2.5241193932566737
1,2,16-4324-56660,"I-291,",2012-05-15,2012,3,4.2,1.3,51.14351,-87.96643,32.1,11,0.19,36.6,78.2,8.48,11.8,0.415,2.5,0.41,22,4,443,7.91,8,0.12,0.15,155,2.913093441318614
1,2,15-5089-59670,Lingman,2012-05-14,2012,3,4.9,1.9,53.85483,-92.85197,31.2,10.8,0.37,24.6,74.8,8.16,8.2,0.34,2,0.44,18,2,292,7.87,10.9,0.6,0.3,98,2.3675330085489765
1,2,15-5751-58597,Nikip,2012-05-15,2012,1.5,2.7,1.6,52.89722,-91.89389,30.5,9.98,0.17,71,75.6,7.64,12.5,0.6,2.57,0.84,26,4,385,7.82,18.2,1.42,0.4,330,2.0480583680868203
1,2,16-4137-58866,NL,2012-05-14,2012,3.5,14.6,2.5,53.13145,-88.30604,49.1,16.9,0.5,17,119,13.2,8.3,0.38,3.12,0.52,32,36,389,8.15,10.1,0.4,0.1,70,2.5679761944509494
1,2,15-5061-58179,North Spirit,2012-05-14,2012,2,31.5,9.8,52.5156,-92.91514,23.5,7.72,0.15,58.8,57.2,5.82,11.5,0.45,2.06,0.715,8,2,316,7.71,13.1,1.54,0.75,164,2.230842986994636
1,2,15-5000-58758,Sandy,2012-05-14,2012,0.5,36.6,3.3,53.01908,-93.03714,31.9,10.5,0.26,127,79.6,8.38,11.5,0.955,3.22,1.24,10,44,368,7.83,39.4,1.86,0.8,1434,1.6071467400733641
1,2,16-3492-57692,Totogan,2012-05-14,2012,2,7,2.5,52.06298,-89.1905,36.2,12.2,0.24,51.6,85.6,9.2,12.2,0.385,2.6,0.525,18,4,394,7.89,12.3,1.48,0.3,140,2.373838446857292
1,2,15-5365-57696,Tutu,2012-05-14,2012,3,4.7,1,52.07642,-92.46707,18.3,5.44,0.15,34.6,44,4.82,7,0.735,1.16,0.88,14,4,256,7.62,8.4,0.64,1.05,179,2.591306795928949
1,2,16-3864-56799,Weese,2012-05-15,2012,2.5,15,1.4,51.26148,-88.62762,50.3,16.7,0.28,50,119,13.8,11.5,0.62,3.91,0.495,14,2,314,8.05,7.5,1.56,0.8,74,2.834956179471029
1,2,15-5988-58262,Windigo,2012-05-15,2012,3.5,7,3.8,52.58151,-91.53567,44.8,14.5,0.2,23.8,108,11.6,8.4,0.6,3.56,0.77,18,2,298,8,11.3,1.9,0.6,81,2.3411397657071604
1,2,16-4753-58628,Winisk,2012-05-15,2012,3.5,16.5,2.2,52.94125,-87.39311,64,21.2,0.38,17.2,149,19,8.8,0.735,4.24,0.765,20,22,363,8.05,9,1.34,0.4,44,2.669359497317482
1,4,15-5782-55201,Amik,2009-05-20,2009,1.8,20.4,5.5,49.83026,-91.91356,18.4,6.26,0.25,99.2,45,4.42,14,0.62,1.79,1.19,14,80,439,7.12,18.3,1.88,1.4,323,2.0892838391671393
1,4,15-6471-56202,Arc,2009-05-21,2009,2.8,31,5.7,50.71702,-90.90662,19,6.46,0.16,70,44.4,4.68,10.9,0.535,1.68,0.665,18,64,274,7.22,7.6,1.62,1.05,106,2.750067165186823
1,4,15-5837-55088,Arethusa,2009-05-20,2009,2.3,18,6.2,49.71847,-91.86176,17.1,5.48,0.25,34.8,40.6,4.32,7.7,0.59,1.35,1.25,26,2,349,7.29,11.5,0.96,1.75,98,2.388962152147537
1,4,15-6011-55383,Bawden,2009-05-20,2009,1.8,11,3.4,49.99869,-91.58399,39.8,7.14,0.27,89.6,47.2,4.92,13.7,0.605,1.76,0.84,30,54,479,7.2,14.7,1.76,1,171,2.290450192120927
