BsM_lakeName,latBsM,longBsM,bsmWaterbodyID,ARU_lakeName,latARU_conv,longARU_conv,ARU_LID,Notes,commonID
Dalhousie,44.9656,-76.56939,18-3762-49801,Dalhousie,44.96555556,-76.56972222,18-3762-49801,NA,Dalhousie_1
Dalrymple,44.64052,-79.11093,17-6500-49453,Dalrymple,44.64722222,-79.10888889,17-6500-49453,NA,Dalrymple_1
Daniels,49.92424,-93.85166,15-4399-55286,Daniels,49.90861111,-93.83722222,15-4399-55286,NA,Daniels_1
Davies,50.14869,-90.97855,15-6444-55569,Davies,50.14861111,-90.97833333,15-6444-55569,NA,Davies_1
Dayohessarah,48.78119,-85.02995,16-6447-54048,Dayohessarah,48.78111111,-85.03,16-6447-54048,NA,Dayohessarah_1
De Lesseps,50.70008,-90.70631,15-6620-56188,De Lesseps,50.7,-90.70611111,15-6620-56188,NA,De Lesseps_1
Deception,48.62456,-88.74729,16-3712-53869,Deception,48.62416667,-88.74777778,16-3712-53869,NA,Deception_1
Deer,46.48181,-80.21786,17-5601-51477,Deer,46.48194444,-80.2175,17-5601-51477,NA,Deer_1
Deer,52.63469,-94.20479,15-4198-58335,Deer,52.64777778,-94.185,15-4198-58335,NA,Deer_2
Delaney,50.09299,-94.048,15-4250-55493,Delaney,50.09305556,-94.04833333,15-4250-55493,NA,Delaney_1
Dennie,46.91451,-81.90151,17-4313-51958,Dennie,46.91444444,-81.90166667,17-4313-51958,NA,Dennie_1
Denyes,47.84019,-82.78009,17-3670-52999,Denyes,47.84055556,-82.77722222,17-3670-52999,NA,Denyes_1
Deschamp,46.57699,-82.43105,17-3903-51589,Deschamp,46.57666667,-82.43166667,17-3903-51589,NA,Deschamp_1
Devils,46.77811,-83.94464,17-2752-51845,Devils,46.77805556,-83.94472222,17-2752-51845,NA,Devils_1
Diamond,47.20455,-80.24759,17-5580-52276,Diamond,47.20166667,-80.23416667,17-5580-52276,NA,Diamond_1
Dibble,49.19884,-92.02659,15-5704-54495,Dibble,49.19666667,-92.03416667,15-5704-54496,NA,Dibble_1
Dick,47.10866,-84.358,16-7004-52204,Dick,47.10861111,-84.35805556,16-7004-52204,NA,Dick_1
Dilla,49.82976,-87.5004,16-4636-55195,Dilla,49.82888889,-87.50555556,16-4636-55195,NA,Dilla_1
Dinorwic,49.62051,-92.56305,15-5320-54970,Dinorwic,49.62666667,-92.55694444,15-5320-54970,NA,Dinorwic_1
Disraeli,49.13422,-88.982,16-3551-54440,Disraeli,49.13361111,-88.98666667,16-3551-54440,NA,Disraeli_1
Dobie,46.54588,-83.02212,17-3450-51565,Dobie,46.54583333,-83.02222222,17-3450-51565,NA,Dobie_1
Doe,45.53377,-79.41413,17-6239-50430,Doe,45.53111111,-79.41388889,17-6239-50429,NA,Doe_1
Dog,48.77812,-89.51281,16-3132-54041,Dog,48.76388889,-89.5425,16-3132-54041,NA,Dog_1
Dog,44.4302,-76.33444,18-3938-49203,Dog,44.43,-76.33472222,18-3938-49203,NA,Dog_2
Dogpaw,49.36962,-93.90523,15-4342-54693,Dogpaw,49.37472222,-93.90583333,15-4342-54693,NA,Dogpaw_1
Dogtooth,49.69869,-94.15775,15-4148-55077,Dogtooth,49.71777778,-94.18194444,15-4148-55077,NA,Dogtooth_1
Donald,46.79829,-80.51028,17-5370-51830,Donald,46.80166667,-80.51527778,17-5370-51830,NA,Donald_1
Dotty,45.46152,-78.99156,17-6571-50360,Dotty,45.46166667,-78.99083333,17-6571-50360,NA,Dotty_1
Dovetail,48.87992,-92.0409,15-5704-54143,Dovetail,48.88,-92.04,15-5704-54143,NA,Dovetail_1
Dowswell,50.62006,-94.71704,15-3786-56088,Dowswell,50.62,-94.71666667,15-3786-56087,NA,Dowswell_1
Drag,45.07432,-78.41081,17-7042-49937,Drag,45.06944444,-78.40638889,17-7042-49937,NA,Drag_1
