lakeName,ARU_LID,LATITUDE,LONGITUDE,latD,latM1,latM2,longD,longM1,longM2,lakeName_a,lakeName_b,waterbodyAndLake,waterbodyAndLake_ok,waterbodyAndLake_pieces,waterbodyAndLake_remainder
Schou,17-4250-52727,473621,815951,47,3,6,81,5,9,Schou,NA,Schou,FALSE,1,
Schroeml,15-4498-56077,503717,934237,50,3,7,93,4,2,Schroeml,NA,Schroeml,FALSE,1,
Schryburt,16-3247-58299,523533,893519,52,3,5,89,3,5,Schryburt,NA,Schryburt,FALSE,1,
Schufelt,17-6471-50047,451055,790740,45,1,0,79,0,7,Schufelt,NA,Schufelt,FALSE,1,
Schultz,15-4694-55607,501158,932544,50,1,1,93,2,5,Schultz,NA,Schultz,FALSE,1,
Scorch,17-7200-50136,451435,781148,45,1,4,78,1,1,Scorch,NA,Scorch,FALSE,1,
Scotch,15-6345-54482,491026,910916,49,1,0,91,0,9,Scotch,NA,Scotch,FALSE,1,
Scoter,16-5201-58181,523054,864213,52,3,0,86,4,2,Scoter,NA,Scoter,FALSE,1,
Scoter,16-7055-55444,500106,840754,50,0,1,84,0,7,Scoter,NA,Scoter,FALSE,1,
Scotia,17-4713-52126,470407,812242,47,0,4,81,2,2,Scotia,NA,Scotia,FALSE,1,
Scott,15-6998-53397,481051,901844,48,1,0,90,1,8,Scott,NA,Scott,FALSE,1,
Scott,16-6745-53296,480552,843923,48,0,5,84,3,9,Scott,NA,Scott,FALSE,1,
Scott,17-6780-50393,452910,784322,45,2,9,78,4,3,Scott,NA,Scott,FALSE,1,
Scotties,17-4840-52795,474013,811245,47,4,0,81,1,2,Scotties,NA,Scotties,FALSE,1,
Scotty,15-4244-55773,502042,940347,50,2,0,94,0,3,Scotty,NA,Scotty,FALSE,1,
Scraggy,17-4210-53020,475205,820320,47,5,2,82,0,3,Scraggy,NA,Scraggy,FALSE,1,
Scruffy,15-6908-55246,495043,902046,49,5,0,90,2,0,Scruffy,NA,Scruffy,FALSE,1,
Scuckasu,16-6497-54978,493658,845540,49,3,6,84,5,5,Scuckasu,NA,Scuckasu,FALSE,1,
Scugog,17-4582-49963,450716,813154,45,0,7,81,3,1,Scugog,NA,Scugog,FALSE,1,
Scugog,17-6715-48930,441019,785117,44,1,0,78,5,1,"Scugog,",NA,"Scugog,",FALSE,1,
Scully,16-6959-53785,483152,842046,48,3,1,84,2,0,Scully,NA,Scully,FALSE,1,
Scully,18-3519-50112,451428,765312,45,1,4,76,5,3,Scully,NA,Scully,FALSE,1,
Sea,17-7314-50537,453600,780157,45,3,6,78,0,1,Sea,NA,Sea,FALSE,1,
Seabrook,17-3256-52078,470011,831741,47,0,0,83,1,7,Seabrook,NA,Seabrook,FALSE,1,
Seach,16-3094-57036,512711,894435,51,2,7,89,4,4,Seach,NA,Seach,FALSE,1,
Seagram,16-5396-55002,493918,862704,49,3,9,86,2,7,Seagram,NA,Seagram,FALSE,1,
Seagram,17-5351-52162,470603,803214,47,0,6,80,3,2,Seagram,NA,Seagram,FALSE,1,
Seagrave,15-5576-56820,511717,921027,51,1,7,92,1,0,Seagrave,NA,Seagrave,FALSE,1,
Seagull,17-4835-52232,NA,NA,NA,NA,NA,NA,NA,NA,Seagull,NA,Seagull,FALSE,1,
Seahorse,17-5830-53513,481841,795249,48,1,8,79,5,2,Seahorse,NA,Seahorse,FALSE,1,
Sec,18-3016-50772,454920,773313,45,4,9,77,3,3,Sec,NA,Sec,FALSE,1,
Second,17-3709-51356,462150,824042,46,2,1,82,4,0,Second,NA,Second,FALSE,1,
Second,17-4543-51628,463709,813550,46,3,7,81,3,5,Second,NA,Second,FALSE,1,
Second,18-2816-49720,445212,774551,44,5,2,77,4,5,Second,NA,Second,FALSE,1,
Second,17-5886-50131,451605,795215,45,1,6,79,5,2,Second,NA,Second,FALSE,1,
Secord,17-6210-51791,464524,792454,46,4,5,79,2,4,Secord,NA,Secord,FALSE,1,
Secret,15-5627-54364,490444,920828,49,0,4,92,0,8,Secret,NA,Secret,FALSE,1,
Secret,17-4477-52922,474657,814156,47,4,6,81,4,1,Secret,NA,Secret,FALSE,1,
Secret,17-5672-52107,470253,800655,47,0,2,80,0,6,Secret,NA,Secret,FALSE,1,
Secret,17-5572-50573,454007,801555,45,4,0,80,1,5,Secret,NA,Secret,FALSE,1,
Secret,17-6003-49691,NA,NA,NA,NA,NA,NA,NA,NA,Secret,NA,Secret,FALSE,1,
Sedgwick,15-5706-54405,490656,920156,49,0,6,92,0,1,Sedgwick,NA,Sedgwick,FALSE,1,
Seeber,15-4963-59683,535154,930325,53,5,1,93,0,3,Seeber,NA,Seeber,FALSE,1,
Seeseep,15-6438-58639,525428,905142,52,5,4,90,5,1,Seeseep,NA,Seeseep,FALSE,1,
Seggemak,15-5370-54702,492309,922925,49,2,3,92,2,9,Seggemak,NA,Seggemak,FALSE,1,
Seguin,17-6030-50430,453207,794050,45,3,2,79,4,0,Seguin,NA,Seguin,FALSE,1,
Selby,18-2747-50074,451110,775204,45,1,1,77,5,2,Selby,NA,Selby,FALSE,1,
Selkirk,17-5188-52241,471018,804506,47,1,0,80,4,5,Selkirk,NA,Selkirk,FALSE,1,
Selkirk,16-6786-53437,481323,843545,48,1,3,84,3,5,Selkirk,NA,Selkirk,FALSE,1,
Selwyn,15-6531-54804,492731,905316,49,2,7,90,5,3,Selwyn,NA,Selwyn,FALSE,1,
Semiwite,17-3712-51594,463439,824053,46,3,4,82,4,0,Semiwite,NA,Semiwite,FALSE,1,
Semple,17-4776-53163,480005,811802,48,0,0,81,1,8,Semple,NA,Semple,FALSE,1,
Senia,15-5840-58603,525314,914508,52,5,3,91,4,5,Senia,NA,Senia,FALSE,1,
Senior,15-5880-56728,511205,914425,51,1,2,91,4,4,Senior,NA,Senior,FALSE,1,
Sensenbrenner,17-4046-55075,494253,821922,49,4,2,82,1,9,Sensenbrenner,NA,Sensenbrenner,FALSE,1,
